"item_id"	"manufacturer_item_id"	"upc_or_ean_id"	"manufacturer"	"product_name"	"short_description"	"extended_description"	images	weight	length	width	height	categories	"retail_map"	"msrp"	"stock_status"
"BLK44H100BWL"	"44H100BWL"	"648018090417"	"Blackhawk!"	"09041 - SERPA L3 DUTY LH SZ 0 BW BLK"	"09041 - SERPA L3 DUTY LH SZ 0 BW BLK"	"SERPA Level 3 Duty Holsters: Basketweave - Left handed - Size:00 - Glock 17/19/22/23/31/32 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H100BWL.jpg	.8400	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H100BWR"	"44H100BWR"	"648018090424"	"Blackhawk!"	"09042 - SERPA L3 DUTY RH SZ 0 BW BLK"	"09042 - SERPA L3 DUTY RH SZ 0 BW BLK"	"SERPA Level 3 Duty Holsters: Basketweave - Right handed - Size:00 - Glock 17/19/22/23/31/32 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H100BWR.jpg	.8400	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H100PLL"	"44H100PLL"	"648018090394"	"Blackhawk!"	"09039 - SERPA L3 DUTY LH SZ 0 BLN BLK"	"09039 - SERPA L3 DUTY LH SZ 0 BLN BLK"	"SERPA Level 3 Duty Holsters: Plain Applique - Left handed - Size:00 - Glock 17/19/22/23/31/32 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H100PLL.jpg	.8400	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H100PLR"	"44H100PLR"	"648018090400"	"Blackhawk!"	"09040 - SERPA L3 DUTY RH SZ 0 BLN BLK"	"09040 - SERPA L3 DUTY RH SZ 0 BLN BLK"	"SERPA Level 3 Duty Holsters: Plain Applique - Right handed - Size:00 - Glock 17/19/22/23/31/32 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H100PLR.jpg	.8400	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H103BKR"	"44H103BKR"	"648018142598"	"Blackhawk!"	"14259 - SERPA L3 DUTY RH SZ 3 MAT BLK"	"14259 - SERPA L3 DUTY RH SZ 3 MAT BLK"	"SERPA Level 3 Duty Holsters: Black Matte - Right handed - Size:03 - 1911 Gov't & Clones w/ or w/out rail - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H103BKR.jpg	.8500	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"107.99"	"N"
"BLK44H103BWR"	"44H103BWR"	"648018142604"	"Blackhawk!"	"14260 - SERPA L3 DUTY RH SZ 3 BW BLK"	"14260 - SERPA L3 DUTY RH SZ 3 BW BLK"	"SERPA Level 3 Duty Holsters: Basketweave - Right handed - Size:03 - 1911 Gov't & Clones w/ or w/out rail - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H103BWR.jpg	.8500	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H103PLR"	"44H103PLR"	"648018142611"	"Blackhawk!"	"14261 - SERPA L3 DUTY RH SZ 3 BLN BLK"	"14261 - SERPA L3 DUTY RH SZ 3 BLN BLK"	"SERPA Level 3 Duty Holsters: Plain Applique - Right handed - Size:03 - 1911 Gov't & Clones w/ or w/out rail - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H103PLR.jpg	.8500	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
"BLK44H104BKL"	"44H104BKL"	"648018127366"	"Blackhawk!"	"12736 - SERPA L3 DUTY LH SZ 4 MAT BLK"	"12736 - SERPA L3 DUTY LH SZ 4 MAT BLK"	"SERPA Level 3 Duty Holsters: Black Matte - Left handed - Size:04 - Beretta 92/96/M9A1 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H104BKL.jpg	.8000	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
"BLK44H104BKR"	"44H104BKR"	"648018102813"	"Blackhawk!"	"10281 - SERPA L3 DUTY RH SZ 4 MAT BLK"	"10281 - SERPA L3 DUTY RH SZ 4 MAT BLK"	"SERPA Level 3 Duty Holsters: Black Matte - Right handed - Size:04 - Beretta 92/96/M9A1 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H104BKR.jpg	.8000	12.0000	5.5000	3.5000	HOLSTERS	"n/a"	"107.99"	"N"
"BLK44H104BWL"	"44H104BWL"	"648018143328"	"Blackhawk!"	"14332 - SERPA L3 DUTY LH SZ 4 BW BLK"	"14332 - SERPA L3 DUTY LH SZ 4 BW BLK"	"SERPA Level 3 Duty Holsters: Basketweave - Left handed - Size:04 - Beretta 92/96/M9A1 - Provides a quick, natural draw with immediate security upon re-holstering to increase officer safety - Injection molded carbon fiber composite"	BLK44H104BWL.jpg	.9300	12.0000	5.5000	3.7500	HOLSTERS	"n/a"	"124.99"	"N"
