"item_id",qty_available,"stock_status","active_status"
"HOG12810",0,"N","Y"
"HOG13310",0,"N","Y"
"HOG13910",0,"N","Y"
"HOG14000",18,"S","Y"
"HOG14410",0,"N","Y"
"HOG14510",0,"N","Y"
"HOG14811",0,"N","Y"
"HOG14911",0,"N","Y"
"HOG16210",0,"N","Y"
"HOG16310",0,"N","Y"
"HOG16711",0,"N","Y"
"HOG16811",0,"N","Y"
"HOG16911",0,"N","Y"
"HOG19100",0,"N","Y"
"HOG19201",0,"N","Y"
"HOG19220",0,"N","Y"
"HOG19222",0,"N","Y"
"HOG19231",0,"N","Y"
"HOG19233",0,"N","Y"
"HOG19235",0,"N","Y"
"HOG19244",0,"N","Y"
"HOG19250",0,"N","Y"
"HOG19303",0,"N","Y"
"HOG19311",0,"N","Y"
"HOG19322",0,"N","Y"
"HOG19324",0,"N","Y"
"HOG19330",0,"N","Y"
"HOG19335",0,"N","Y"
"HOG19341",0,"N","Y"
"HOG19352",0,"N","Y"
"HOG19400",0,"N","Y"
"HOG19413",0,"N","Y"
"HOG19421",0,"N","Y"
"HOG19430",0,"N","Y"
"HOG19432",0,"N","Y"
"HOG19443",0,"N","Y"
"HOG19445",0,"N","Y"
"HOG19502",0,"N","Y"
"HOG19510",0,"N","Y"
"HOG19521",0,"N","Y"
"HOG19523",0,"N","Y"
"HOG19534",0,"N","Y"
"HOG19540",0,"N","Y"
"HOG19551",0,"N","Y"
"HOG19553",0,"N","Y"
"HOG19610",0,"N","Y"
"HOG19612",0,"N","Y"
"HOG19625",0,"N","Y"
"HOG19631",0,"N","Y"
"HOG19642",0,"N","Y"
"HOG19644",0,"N","Y"
"HOG19653",0,"N","Y"
"HOG19701",0,"N","Y"
"HOG19720",0,"N","Y"
"HOG19722",0,"N","Y"
"HOG19733",0,"N","Y"
"HOG19735",0,"N","Y"
"HOG19744",0,"N","Y"
"HOG19750",0,"N","Y"
"HOG19803",0,"N","Y"
"HOG19811",0,"N","Y"
"HOG19824",0,"N","Y"
"HOG19830",0,"N","Y"
"HOG19835",0,"N","Y"
"HOG19841",0,"N","Y"
"HOG19852",0,"N","Y"
"HOG19900",0,"N","Y"
"HOG19913",0,"N","Y"
"HOG19921",0,"N","Y"
"HOG19930",0,"N","Y"
"HOG19932",0,"N","Y"
"HOG19934",0,"N","Y"
"HOG19943",0,"N","Y"
"HOG19945",0,"N","Y"
"HOG20009",2,"S","Y"
"HOG20019",3,"S","Y"
"HOG20610",0,"N","Y"
"HOG20710",0,"N","Y"
"HOG20810",0,"N","Y"
"HOG21211",0,"N","Y"
"HOG21311",0,"N","Y"
"HOG21910",0,"N","Y"
"HOG22000",11,"S","Y"
"HOG22030",0,"N","Y"
"HOG22110",0,"N","Y"
"HOG23210",0,"N","Y"
"HOG23411",0,"N","Y"
"HOG23511",0,"N","Y"
"HOG23910",0,"N","Y"
"HOG24210",0,"N","Y"
"HOG24711",0,"N","Y"
"HOG24811",0,"N","Y"
"HOG25200",0,"N","Y"
"HOG25202",0,"N","Y"
"HOG25221",0,"N","Y"
"HOG25223",0,"N","Y"
"HOG25234",0,"N","Y"
"HOG25240",0,"N","Y"
"HOG25245",0,"N","Y"
"HOG25251",0,"N","Y"
"HOG25310",0,"N","Y"
"HOG25312",0,"N","Y"
"HOG25325",0,"N","Y"
"HOG25331",0,"N","Y"
"HOG25340",0,"N","Y"
"HOG25342",0,"N","Y"
"HOG25353",0,"N","Y"
"HOG25401",0,"N","Y"
"HOG25420",0,"N","Y"
"HOG25422",0,"N","Y"
"HOG25431",0,"N","Y"
"HOG25433",0,"N","Y"
"HOG25444",0,"N","Y"
"HOG25450",0,"N","Y"
"HOG25503",0,"N","Y"
"HOG25511",0,"N","Y"
"BSQ20053",0,"N","Y"
"BSQ20064",0,"N","Y"
"BSQ20066",0,"N","Y"
"BSQ27064",0,"N","Y"
"BSQ42214",6,"S","Y"
"BSQT0045",0,"N","Y"
"BSQT1006",0,"N","Y"
"BTY10COVR",0,"C","N"
"BUR200154",13,"S","Y"
