"item_id",cost,"retail_map","msrp"
"BLK30RV08RD",115.2479,"n/a","189.99"
"BLK31RV01BK",121.3136,"n/a","199.99"
"BLK32AC08BKCTS",30.3284,"n/a","49.99"
"BLK32AC08CTCTS",30.3284,"n/a","49.99"
"BLK32AC08MC",51.5583,"n/a","84.99"
"BLK32AC08MCCTS",36.3941,"n/a","59.99"
"BLK32AC08ODCTS",30.3284,"n/a","49.99"
"BLK15DP00BK",78.8538,"n/a","129.99"
"BLK15TP00BK",78.8538,"n/a","129.99"
"BLK20TR03BK",42.4598,"n/a","69.99"
"BLA10021",20.5244,"n/a","30.95"
"BERTS71729458L",18.6170,"n/a","35.00"
"BERTS71729458M",18.6170,"n/a","35.00"
"BERTS71729458S",18.6170,"n/a","35.00"
"BERTS71729458XL",18.6170,"n/a","35.00"
"BERTS71729458XXL",21.2766,"n/a","40.00"
"BERTS71729458XXXL",21.2766,"n/a","40.00"
"BERTS71729434XXL",21.2766,"n/a","40.00"
"BERTS71729434XXXL",21.2766,"n/a","40.00"
"BERTS71729438L",18.6170,"n/a","35.00"
"BERTS71729438M",18.6170,"n/a","35.00"
"BERTS71729438S",18.6170,"n/a","35.00"
"BERTS71729438XL",18.6170,"n/a","35.00"
"BERTS71729438XXL",21.2766,"n/a","40.00"
"BERTS71729438XXXL",21.2766,"n/a","40.00"
"BFEBCL12",3.2618,"n/a","5.10"
"BLK20MB01BK",25.4759,"n/a","41.99"
"BLK20MB01CT",25.4759,"n/a","41.99"
"BLK20MB01OD",25.4759,"n/a","41.99"
"BLK20MB02BK",21.8364,"n/a","35.99"
"BLK20MB02CT",21.8364,"n/a","35.99"
"BLK20MB02OD",21.8364,"n/a","35.99"
"BLK20PK01CT",12.7379,"n/a","20.99"
"BLK20PK01MC",13.3445,"n/a","21.99"
"BLK20PK01OD",12.7379,"n/a","20.99"
"BLK20SK01BK",15.1642,"n/a","24.99"
"BLK20SK01CT",15.1642,"n/a","24.99"
"BLK20SK01MC",16.9839,"n/a","27.99"
"BLK20SK01OD",15.1642,"n/a","24.99"
"BLK210",18.1970,"n/a","29.99"
"BLK22GB00BK",115.2479,"n/a","189.99"
"BLK22GB00CT",115.2479,"n/a","189.99"
"BLK22GB00FG",115.2479,"n/a","189.99"
"BLK22GB00MC",121.3136,"n/a","199.99"
"BLK22GB00OD",115.2479,"n/a","189.99"
"BLK22GB01BK",21.2299,"n/a","34.99"
"BLK22GB01CT",21.2299,"n/a","34.99"
"BLK22GB02BK",23.0496,"n/a","37.99"
"BLK22GB02CT",23.0496,"n/a","37.99"
"BLK22GB03BK",60.6568,"n/a","99.99"
"BLK22GB03CT",60.6568,"n/a","99.99"
"BLK22GB03FG",60.6568,"n/a","99.99"
"BLK22GB03OD",60.6568,"n/a","99.99"
"BLK22GB03RGCT",60.6568,"n/a","99.99"
"BLK22GB04BK",48.5254,"n/a","79.99"
"BLK22GB04CT",48.5254,"n/a","79.99"
"BLK22GB04OD",48.5254,"n/a","79.99"
"BLK22GB05BK",45.4926,"n/a","74.99"
"BLK22GB05CT",45.4926,"n/a","74.99"
"BLK22GB05MC",54.5911,"n/a","89.99"
"BLK22GB05OD",45.4926,"n/a","74.99"
"BLK22GB06BK",54.5911,"n/a","89.99"
"BLK22GB06CT",54.5911,"n/a","89.99"
"BLK22GB06MC",66.7225,"n/a","109.99"
"BLK22GB06OD",54.5911,"n/a","89.99"
"BLK22GB07BK",60.6568,"n/a","99.99"
"BLK22GB07CT",60.6568,"n/a","99.99"
"BLK22GB07MC",78.8538,"n/a","129.99"
"BLK22GB07OD",60.6568,"n/a","99.99"
"BLK32AS00BK",6.6722,"n/a","10.99"
"BLK32AS00CT",6.6722,"n/a","10.99"
"BLK32AS00FG",6.6722,"n/a","10.99"
"BLK32AS00OD",6.6722,"n/a","10.99"
"BFEBCL1PL",4.9246,"n/a","7.70"
"BFEDP7",295.7974,"n/a","462.50"
"BFELPPS",3.8246,"n/a","5.98"
"BFEDISPLAYMMZG",223.8467,"n/a","350.00"
"BFEZGPS10",4.4705,"n/a","6.99"
"BLFBBM688",15.2778,"n/a","n/a"
"BLFBBM8882",13.8889,"n/a","n/a"
"BLFBBM8882TM",375.0000,"n/a","n/a"
"BLFBBM889",10.9222,"n/a","n/a"
"BLFBBM889E",12.8889,"n/a","n/a"
"BLFBBM890POP12",91.7333,"",""
"BLFBBM900",86.6667,"n/a","n/a"
"BLFBBM905",15.9500,"n/a","n/a"
"BLFBBM910",24.4444,"n/a","n/a"
"BLK32B401BKST3A4",1364.7780,"1799.99","2249.99"
"BLK32B401BKST3A5",758.2100,"999.99","1249.99"
"BLK32B401CTST3A4",1364.7780,"1799.99","2249.99"
"BLK32B401CTST3A5",758.2100,"999.99","1249.99"
"BLK32B402BKST3A4",1364.7780,"1799.99","2249.99"
"BLK32B402BKST3A5",758.2100,"999.99","1249.99"
"BLK32B402CTST3A4",1364.7780,"1799.99","2249.99"
"BLK32B402CTST3A5",758.2100,"999.99","1249.99"
"BLK32B403BKST3A4",1364.7780,"1799.99","2249.99"
"BLK32B403BKST3A5",758.2100,"999.99","1249.99"
"BLK32B403CTST3A4",1364.7780,"1799.99","2249.99"
"BLK32B403CTST3A5",758.2100,"999.99","1249.99"
"BLK32B404BKST3A4",1364.7780,"1799.99","2249.99"
"BLK32B404BKST3A5",758.2100,"999.99","1249.99"
"BLK32B404CTST3A4",1364.7780,"1799.99","2249.99"
"BLK32B404CTST3A5",758.2100,"999.99","1249.99"
"BLK32B501BKST3A4",1334.4496,"1759.99","2199.99"
"BLK32B501BKST3A5",727.8816,"959.99","1199.99"
"BLK32B501CTST3A4",1334.4496,"1759.99","2199.99"
"BLK32B501CTST3A5",727.8816,"959.99","1199.99"
"BLK32B502BKST3A4",1334.4496,"1759.99","2199.99"
"BLK32B502BKST3A5",727.8816,"959.99","1199.99"
"BLK32B502CTST3A4",1334.4496,"1759.99","2199.99"
"BLK32B502CTST3A5",727.8816,"959.99","1199.99"
"BLK410600PBK",13.9511,"n/a","22.99"
"BLK410600PCT",13.9511,"n/a","22.99"
"BLK410600PFG",13.9511,"n/a","22.99"
"BLK410600POD",13.9511,"n/a","22.99"
"BLK410610CBK",22.4430,"n/a","36.99"
"BLK410610PBK",19.4102,"n/a","31.99"
"BLK410800CBK",14.5576,"19.19","23.99"
"BLK410900CBK",13.9511,"18.39","22.99"
"BLK410901BK",7.2788,"9.59","11.99"
"BLK410902BK",8.4920,"11.19","13.99"
"BLK410904BK",11.5248,"15.19","18.99"
"BLK411000CBK",13.9511,"n/a","22.99"
"BLK411000PBK",13.3445,"n/a","21.99"
"BLK411000PCT",13.3445,"n/a","21.99"
"BLK411000PFG",13.3445,"n/a","21.99"
"BLK411000POD",13.3445,"n/a","21.99"
"BLK411100CBK",10.3117,"n/a","16.99"
"BLK411300CBK",14.5576,"19.19","23.99"
"BLK411400CBK",9.7051,"12.79","15.99"
